codigoinstitucion;nombreinstitucion;codigodepartinstitucion;nombredepartinstitucion;codigomunicipioinstitucion;nombremunicipioinstitucion;codigoorigeninstitucional;nombreorigeninstitucional;codigocaracteracademico;nombrecaracteracademico;codigoprograma;nombreprograma;codigodepartprograma;nombredepartprograma;codigomunicipioprograma;nombremunicipioprograma;codigoestadoprograma;nombreestadoprograma;cantidadcreditos;fechaacreditacion;codigoareaconocimiento;nombreareaconocimiento;codigometodologia;nombremetodologia;codigonbc;nombrenbc;codigonivelformacion;nombrenivelformacion;codigonivelacademico;nombrenivelacademico;codigoperiodicidad;nombreperiodicidad;cantidadperiodos;numeroresolucionacreditacion;codigotipoacreditacion;nombretipoacreditacion;aniosacreditados;nombretituloobtenido;fechacreacion
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;NA;8/06/2017;8;Ingeniería arquitectura urbanismo y afines;1;Presencial;818;Arquitectura;6;Universitaria;1;Pregrado;2;Semestral;10;11422;3;Acreditación de alta calidad;6;ARQUITECTO(A);30/09/2015
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;151;25/05/2017;2;Bellas artes;1;Presencial;24;Artes plásticas visuales y afines;6;Universitaria;1;Pregrado;2;Semestral;10;10732;3;Acreditación de alta calidad;6;MAESTRO(A) EN ARTES PLASTICAS;6/09/2012
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;125;9/06/2017;5;Ciencias sociales y humanas;1;Presencial;556;Ciencia política relaciones internacionales;6;Universitaria;1;Pregrado;2;Semestral;8;11708;3;Acreditación de alta calidad;6;POLITOLOGO(A);1/03/2021
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;146;25/05/2017;9;Matemáticas y ciencias naturales;1;Presencial;937;Matemáticas estadística y afines;6;Universitaria;1;Pregrado;2;Semestral;10;10726;2;Registro calificado;7;CIENTÍFICO(A) DE LA COMPUTACIÓN;15/08/2018
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;180;5/08/2014;8;Ingeniería arquitectura urbanismo y afines;1;Presencial;818;Arquitectura;6;Universitaria;1;Pregrado;2;Semestral;10;12505;3;Acreditación de alta calidad;6;ARQUITECTO(A) CONSTRUCTOR(A);1/03/2021
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;120;11/11/2020;1;Agronomía veterinaria y afines;1;Presencial;11;Agronomía;3;Doctorado;2;Posgrado;2;Semestral;8;21336;2;Registro calificado;7;DOCTOR EN AGROECOLOGÍA;24/07/2014
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;150;17/07/2018;9;Matemáticas y ciencias naturales;1;Presencial;934;Biología microbiología y afines;3;Doctorado;2;Posgrado;2;Semestral;8;11564;2;Registro calificado;7;DOCTOR EN BIOTECNOLOGIA;24/07/2014
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;110;9/08/2019;8;Ingeniería arquitectura urbanismo y afines;1;Presencial;823;Ingeniería agroindustrial alimentos y afines;3;Doctorado;2;Posgrado;2;Semestral;8;8338;4;n/a;NA;DOCTOR EN CIENCIA Y TECNOLOGIA DE ALIMENTOS;22/06/2017
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;150;19/06/2015;9;Matemáticas y ciencias naturales;1;Presencial;935;Física;3;Doctorado;2;Posgrado;2;Semestral;8;8894;2;Registro calificado;7;DOCTOR EN CIENCIAS - FÍSICA;24/07/2014
1102;UNIVERSIDAD NACIONAL DE COLOMBIA;5;Antioquia;5001;Medellín;1;Oficial;4;Universidad;5;Antioquia;5;Antioquia;5001;Medellín;1;Activo;150;3/02/2017;1;Agronomía veterinaria y afines;1;Presencial;11;Agronomía;3;Doctorado;2;Posgrado;2;Semestral;8;1440;3;Acreditación de alta calidad;8;DOCTOR EN CIENCIAS AGRARIAS;18/06/2015
